planta,nome,autor,fonte,estado,grupo taxonomico,familia,forma vida,substrato,origem,endemismo,ocorrenciasConfirmadas,ocorrenciasPossiveis,dominiosFitogeograficos,tipoVegetacao,sinonimos
Dicliptera ciliaris,Dicliptera ciliaris Juss.,Juss.,floradobrasil,nome correto,Angiospermas,Acanthaceae,Subarbusto,Terrícola,Nativa,não é endêmica do Brasil,"Alagoas,Bahia,Ceará,Paraíba,Pernambuco,Rio Grande do Norte",,Caatinga,,
Reimarochloa acuta,Reimarochloa acuta (Flüggé) Hitchc.,(Flüggé) Hitchc.,floradobrasil,nome correto,Angiospermas,Poaceae,Erva,"Aquática,Terrícola",Nativa,não é endêmica do Brasil,"Amazonas,Pará,Tocantins,Bahia,Distrito Federal,Goiás,Mato Grosso do Sul,Mato Grosso,Minas Gerais",,"Amazônia,Caatinga,Cerrado,Pantanal","Campo de Várzea,Cerrado (lato sensu),Vegetação Aquática",
Sacciolepis myuros,Sacciolepis myuros (Lam.) Chase,(Lam.) Chase,floradobrasil,nome correto,Angiospermas,Poaceae,Erva,"Aquática,Terrícola",Nativa,não é endêmica do Brasil,"Amazonas,Pará,Rondônia,Roraima,Alagoas,Bahia,Maranhão,Piauí,Distrito Federal,Goiás,Mato Grosso do Sul,Mato Grosso,Minas Gerais,Rio de Janeiro",,"Amazônia,Caatinga,Cerrado,Mata Atlântica",Campo de Várzea,"Panicum myuros,"
Urochloa plantaginea,Urochloa plantaginea (Link) R.D.Webster,(Link) R.D.Webster,floradobrasil,nome correto,Angiospermas,Poaceae,Erva,Terrícola,Naturalizada,não é endêmica do Brasil,"Amazonas,Pará,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Distrito Federal,Goiás,Mato Grosso do Sul,Mato Grosso,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,São Paulo",,"Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa","Área Antrópica,Caatinga (stricto sensu),Campinarana,Campo de Várzea,Cerrado (lato sensu),Floresta Estacional Semidecidual,Floresta Ombrófila (= Floresta Pluvial),Restinga","Brachiaria plantaginea,"
