planta,coletador,local,pais,estado,cidade,latitude,longitude,data
Steinchisma laxum (Sw.) Zuloaga,"Viana, PL- Marino, F- Arruda, AJ- Jorge, TB- Meyer, PB","Floresta Nacional de Carajás, N7.",Brasil,Pará,Parauapebas,-6.153611,-50.172222,2018
Steinchisma laxum (Sw.) Zuloaga,"Macedo, A",Queixada.,Brasil,Goiás,Jataí,-17.8813991546631,-51.7144012451172,2013
Steinchisma laxum (Sw.) Zuloaga,Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital,"Chapada da Diamantina, along waterfall of the Rio Ferro Doido, ca. 21 km E of Morro do Chapéu.",Brazil,Bahia,,-11.65,-39.083333,
Steinchisma laxum (Sw.) Zuloaga,"Davidse, G- D'Arcy, WG",Ca. 3 km NE of Leopoldina along highway BR-116.,Brasil,Minas Gerais,Leopoldina,-21.5319004058838,-42.6431007385254,2013
Steinchisma laxum (Sw.) Zuloaga,"França, F- Melo, E",lagoa 1,Brasil,BA,Feira de Santana,-12.2666997909546,-38.9667015075684,05/2005
Steinchisma laxum (Sw.) Zuloaga,Richard Spruce,,Brazil,Pará,,,,
Steinchisma laxum (Sw.) Zuloaga,"Frazão, A.","Deodoro, Cultivado.&nf-Nota do EAC: observe que esse distrito federal não é o de Brasília, que foi fundada somente em 1960. O distrito nesse caso (da década de 30) refere-se ao estado do Rio de Janeiro.",Brasil,Rio de Janeiro,Rio de Janeiro,-22.9027996063232,-43.2075004577637,11/08/2011
Steinchisma laxum (Sw.) Zuloaga,"Martins, E- et al.","Estação IAC, região próxima ao riacho.",Brasil,São Paulo,Ubatuba,-23.42,-45.1275,2013
Steinchisma laxum (Sw.) Zuloaga,Gerrit Davidse|T.P. Ramamoorthy|Daniel M. Vital,Ca. 3 km NE of Leopoldina along Highway BR-116.,Brazil,Minas Gerais,,,,
Steinchisma laxum (Sw.) Zuloaga,"Pires, JM- Black",Utinga,Brasil,PA,Belém,-1.4558299779892,-48.5043983459473,05/2005
